<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20150820,000000,1121.7,1141.8,1118,1137,153694
20150821,000000,1137.1,1167.9,1136.6,1150.9,194017
20150822,000000,1150.9,1161.3,1148.5,1159.9,121640
20150824,000000,1160.2,1165,1151.8,1154.8,66128
20150825,000000,1154.8,1169.8,1145.1,1148.7,213461
20150826,000000,1148.6,1152.5,1132.4,1137.8,173381
20150827,000000,1137.8,1137.8,1116.9,1124.7,164210
20150828,000000,1124.6,1132.3,1117,1128,136809
20150829,000000,1128,1140.3,1123.1,1133.3,101942
20150831,000000,1132.7,1134.7,1128.6,1131.9,23489
20150901,000000,1131.8,1143.7,1125,1141.5,102195
20150902,000000,1141.4,1147.3,1134.9,1140.2,103822
20150903,000000,1140.3,1141.1,1130.6,1132.2,86968
20150904,000000,1132.3,1132.6,1121,1124.5,100988
20150905,000000,1124.4,1133.1,1115.7,1122.3,90349
20150907,000000,1123,1124.1,1117,1120.8,19947
20150908,000000,1120.8,1122.5,1114.7,1119.2,37844
20150909,000000,1119.1,1126,1118.5,1120.6,89096
20150910,000000,1120.5,1121.4,1100.1,1106,147251
20150911,000000,1106.1,1114.1,1104.4,1106.1,110521
20150912,000000,1106.2,1108.4,1097.7,1107.9,80334
20150914,000000,1107,1108.8,1103.8,1106.2,17901
20150915,000000,1106.1,1109.8,1102.6,1104.8,66365
20150916,000000,1104.8,1108.3,1101.5,1107,70494
20150917,000000,1107,1123.7,1106.5,1118.9,125714
20150918,000000,1118.9,1136,1114.7,1132.9,132963
20150919,000000,1132.9,1141.5,1132,1139.1,107664
20150921,000000,1138.7,1139.4,1135.4,1138.2,19053
20150922,000000,1138.1,1138.1,1128.7,1134.3,76790
20150923,000000,1134.3,1134.4,1120.5,1126.3,109039
20150924,000000,1126.3,1137,1123.7,1134.8,85131
20150925,000000,1134.7,1156.4,1133.6,1141.6,199468
20150926,000000,1141.5,1148.3,1140.1,1145.5,85843
20150928,000000,1145,1147.8,1135.5,1137.6,32840
20150929,000000,1137.6,1138.4,1125,1126.3,122251
20150930,000000,1126.4,1134.3,1122.1,1124.9,90550
20151001,000000,1124.7,1124.8,1110.3,1112.7,124438
20151002,000000,1112.6,1118.5,1106.2,1106.5,76241
20151003,000000,1106.4,1140.9,1103.8,1137.6,149142
20151005,000000,1137,1139.2,1133.2,1135.2,18051
20151006,000000,1135.3,1141.6,1129.6,1136.3,105973
20151007,000000,1136.3,1152.7,1135.8,1148.2,123196
20151008,000000,1148.3,1153.6,1139.2,1142.8,108913
20151009,000000,1142.9,1154.5,1135.9,1153.4,122716
20151010,000000,1153.4,1159.3,1150.3,1155.6,88590
20151012,000000,1155,1166.4,1154.3,1164,27569
20151013,000000,1164,1168.6,1152,1155.6,104192
20151014,000000,1155.7,1176.1,1151.3,1174.5,127790
20151015,000000,1174.4,1189.9,1162.5,1183.9,164645
20151016,000000,1183.8,1191.7,1174,1176.8,163983
20151017,000000,1176.8,1184.8,1174.3,1177.3,78116
20151019,000000,1176.9,1178,1170.5,1172.8,30594
20151020,000000,1172.8,1178.2,1167.2,1173.4,94110
20151021,000000,1173.4,1181.4,1170.5,1175.8,117890
20151022,000000,1175.7,1177.8,1163.2,1166.9,110161
20151023,000000,1167,1175.1,1161.4,1174.1,114173
20151024,000000,1174.2,1179.4,1158.6,1164,113938
20151026,000000,1163.8,1166.2,1162,1165.4,21964
20151027,000000,1165.4,1169.6,1162.2,1165.3,71376
20151028,000000,1165.3,1172.8,1160.5,1172.2,85692
